id	store_number	state	city	category_slug	published	has_coord	name
f3c0bc13-9e53-4196-b049-258e92e71544	369	TN	Dickson	cat-scales	pub	nocoord	CAT Scale - Love's Travel Stop #369 Dickson
e78ba483-5cf5-492c-9e4d-39186230b9a4	346	TN	Columbia	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #346, Columbia
7ad5c4a4-d850-4901-8542-72497a2d0e47	429	TN	Nashville	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #429, Nashville
fb63b914-2ebc-4212-8542-f84fc81b0e19	629	TN	White House	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #629, White House
317477d8-2741-495d-a3b5-3c5e6eec68ed	861	TN	Loudon	cat-scales	pub	coord	CAT Scale — Love's Travel Stop #861, Loudon
a07fae97-fa99-4f05-9ce1-7ce68d531e5a	244	TN	Jackson	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #244
d7669ede-a1d0-4fc9-9bd7-ab2fc25db55e	330	TN	Baxter	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #330
83eb8512-0dd4-42b4-84e2-f49e5a9c4ff9	791	TN	Holladay	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #791
69637f6a-9573-47cb-acaf-7570d602a047	796	TN	Newport	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #796
7781de27-e09d-41fe-b394-5250755d187b	932	TN	Knoxville	tire-repair	pub	nocoord	Love's Speedco #932 Knoxville
6c5d6f67-da95-4378-a089-72e6b7a307c4	244	TN	Jackson	truck-stops	pub	nocoord	Love's Travel Stop #244
f6404302-7971-4884-8f37-82f098913d65	306	TN	Dandridge	truck-stops	pub	nocoord	Love's Travel Stop #306
5f922ea7-ad01-4fff-aa2e-33a9d2cf1177	330	TN	Baxter	truck-stops	pub	nocoord	Love's Travel Stop #330
cdeb1524-21ed-4454-9667-4b4781f3e8fb	346	TN	Columbia	truck-stops	pub	nocoord	Love's Travel Stop #346
08d24d71-a131-473b-9ffd-cc56b92b5466	364	TN	Charleston	truck-stops	pub	coord	Love's Travel Stop #364
e602551b-092f-4d03-9417-03c6196ca4eb	369	TN	Dickson	truck-stops	pub	nocoord	Love's Travel Stop #369
1f6e7f3a-9e20-4a57-8eae-d44d24a80243	429	TN	Nashville	truck-stops	pub	nocoord	Love's Travel Stop #429
d58e3dbf-f1ed-4822-adf6-94841a1a7c64	480	TN	Lenoir City	truck-stops	unpub	nocoord	Love's Travel Stop #480
e862ec83-1ad2-4128-90dd-2cb529a71c79	629	TN	White House	truck-stops	pub	nocoord	Love's Travel Stop #629
4e060c6a-1fab-4808-928a-bd991bf8f694	791	TN	Holladay	truck-stops	pub	nocoord	Love's Travel Stop #791
849b2949-0caf-4874-9c23-e1c79c2ecf35	796	TN	Newport	truck-stops	pub	nocoord	Love's Travel Stop #796
0b49a63f-9886-4ac2-a547-81b6ecda5d6f	861	TN	Loudon	truck-stops	pub	coord	Love's Travel Stop #861
86f3090a-0f4e-4103-a7c5-befcbd96aa85		TN	Baxter	tire-repair	pub	nocoord	Love's Truck Care - Baxter
f9ecb604-3fd2-46b9-bd2c-36a798aa3f37	364	TN	Charleston	tire-repair	pub	coord	Love's Truck Care - Love's Travel Stop #364
07c9a38a-fd7d-4453-907e-25c65f54f3fd	429	TN	Nashville	tire-repair	pub	nocoord	Love's Truck Care - Love's Travel Stop #429
28410ba0-b864-4c43-97cc-93a77a819342	346	TN	Columbia	tire-repair	pub	nocoord	Love's Truck Care — Love's Travel Stop #346
cf5fc3c4-3448-41b9-8caf-01e1b02d74b9	629	TN	White House	tire-repair	pub	nocoord	Love's Truck Care / Speedco — Love's #629, White House
c4997c9e-6181-4948-843c-6aaec49240b4	244	TN	Jackson	tire-repair	pub	nocoord	Love's Truck Care #244
a199a4b9-60d4-4e07-9a81-b518b722a483	306	TN	Dandridge	tire-repair	unpub	nocoord	Love's Truck Care #306
22cffdfb-5e39-47fe-98ce-884b5739ea6c	369	TN	Dickson	tire-repair	pub	nocoord	Love's Truck Care #369
0a51733c-8243-4972-be0c-fd9b39dea490	791	TN	Holladay	tire-repair	pub	nocoord	Speedco at Love's Travel Stop #791
95180b7c-b0de-487b-88db-9d2279c18231	796	TN	Newport	tire-repair	pub	nocoord	Speedco at Love's Travel Stop #796
6084486a-563c-4492-8a3f-575d0e036f02	861	TN	Loudon	tire-repair	pub	coord	Speedco at Love's Travel Stop #861
81d9cb9f-6dd2-491c-8417-5636d505adb5		VA	Ruther Glen	cat-scales	unpub	nocoord	CAT Scale at Love's Ruther Glen
5a5fa4df-c324-4405-bdb6-977ffb7f01a5	317	VA	Skippers	truck-stops	unpub	nocoord	Love's Travel Stop #317
025700b8-af4a-4322-96c1-64fff65ec6b4	435	VA	Ruther Glen	truck-stops	unpub	nocoord	Love's Travel Stop #435 (Ruther Glen)
