source_ref,name,store_type,address,city,state,zip,lat,lng,interstate,exit_number,parking_spaces,overnight_parking,showers,cat_scale
713,Love's Travel Stop #713,Travel Stop,2300 US Highway 380,Bridgeport,TX,76426,33.221219,-97.737881,,,51,true,true,true
299,Love's Travel Stop #299,Travel Stop,1701 US Highway 75,Anna,TX,75409,33.345047,-96.584193,,,55,true,true,true
727,Love's Travel Stop #727,Travel Stop,437071 E 310 Road,Big Cabin,OK,74332,36.568104,-95.218264,I-44,283/Highway 69,82,true,true,true
380,Love's Travel Stop #380,Travel Stop,4800 TX Hwy-114,Rhome,TX,76078,33.05703,-97.484072,,,66,true,true,true
958,Love's Travel Stop #958,Travel Stop,1504 E 21st St N,Wichita,KS,67214,37.723653,-97.320776,I-135,9/21st St,122,true,true,true
695,Love's Travel Stop #695,Travel Stop,445 E Leiter Ave,Cunningham,KS,67035,37.640311,-98.428243,,,37,true,true,true
678,Love's Travel Stop #678,Travel Stop,3215 N Main St,Paris,TX,75460,33.695401,-95.555286,,,58,true,true,true
177,Love's Travel Stop #177,Travel Stop,Mile 65 Kansas Turnpike,El Dorado,KS,67042,37.7661,-96.98161,I-35,Mile 65/Kansas Tpke,44,true,false,false
648,Love's Travel Stop #648,Travel Stop,701 W Wilson St,Valliant,OK,74764,34.004305,-95.101356,,,36,true,true,true
247,Love's Travel Stop #247,Travel Stop,219 S. Boykin Drive,Memphis,TX,79245,34.723061,-100.533731,,,55,true,true,false
658,Love's Travel Stop #658,Travel Stop,3033 Highway 412,Watts,OK,74964,36.175419,-94.573583,,,40,true,true,true
273,Love's Travel Stop #273,Travel Stop,2605 E Bankhead Hwy,Weatherford,TX,76087,32.742896,-97.742837,I-20,410,37,true,true,true
703,Love's Travel Stop #703,Travel Stop,3 Des Moines West,South Hutchinson,KS,67505,38.014167,-97.942004,,,54,true,true,true
283,Love's Travel Stop #283,Travel Stop,1990 E. I-30,Rockwall,TX,75075,32.918189,-96.419311,I-30,70,50,true,true,true
635,Love's Travel Stop #635,Travel Stop,8060 Highway 282,Alma,AR,72921,35.540553,-94.235469,I-49,24/Hwy 282,55,true,true,true
738,Love's Travel Stop #738,Travel Stop,1201 S Hillcrest Dr,Sulphur Springs,TX,75482,33.117433,-95.636795,I-30,122/Hillcrest Dr,92,true,true,true
281,Love's Travel Stop #281,Travel Stop,200 Garden Acres Dr.,Fort Worth,TX,76140,32.598737,-97.317578,,,88,true,true,true
294,Love's Travel Stop #294,Travel Stop,8800 S. Polk Street,Dallas,TX,75232,32.640809,-96.839275,I-20,466,27,true,true,true
692,Love's Travel Stop #692,Travel Stop,3301 N Blue Comet Dr,Chanute,KS,66720,37.646185,-95.477116,,,38,true,true,true
331,Love's Travel Stop #331,Travel Stop,2500 S. I-45,Hutchins,TX,75141,32.623952,-96.69378,I-45,272 @ Fulghum Rd,110,true,true,true
216,Love's Travel Stop #216,Travel Stop,1501 W Highway 287,Midlothian,TX,76065,32.482947,-97.011128,,,40,true,true,true
282,Love's Travel Stop #282,Travel Stop,4013 Highway 43,Joplin,MO,64804,37.013202,-94.54399,I-44,4,25,true,true,false
279,Love's Travel Stop #279,Travel Stop,215 E. I-30 N. Service Rd.,Mount Vernon,TX,75457,33.163946,-95.218039,I-30,147,86,true,true,true
585,Love's Travel Stop #585,Travel Stop,12009 E Highway 86,Neosho,MO,64850,36.879908,-94.427612,I-49,27,87,true,true,true
608,Love's Travel Stop #608,Travel Stop,2400 E Kansas Ave,McPherson,KS,67460,38.370121,-97.614911,I-135,60,84,true,true,true
558,Love's Travel Stop #558,Travel Stop,2505 E Trail Street,Dodge City,KS,67801,37.745046,-99.980198,,,110,true,true,true
270,Love's Travel Stop #270,Travel Stop,6950 I-20,Ranger,TX,76470,32.441748,-98.694499,I-20,349,81,true,true,true
271,Love's Travel Stop #271,Travel Stop,2229 N 3rd Street,Ozark,AR,72949,35.511466,-93.822309,I-40,37,18,true,true,false
229,Love's Travel Stop #229,Travel Stop,9701 I-40,Claude,TX,79068,35.218765,-101.381536,I-40,96,22,true,false,false
632,Love's Travel Stop #632,Travel Stop,1000 E Pancake Blvd,Liberal,KS,67901,37.044785,-100.900791,,,55,true,true,true
721,Love's Travel Stop #721,Travel Stop,6550 S Interstate 45 Service Rd,Alma,TX,75119,32.287637,-96.543987,I-45,246/FM-1183,138,true,true,true
852,Love's Travel Stop #852,Travel Stop,2486 US Hwy-82 W,New Boston,TX,75570,33.472121,-94.461214,I-30,199/US Hwy-82 W,111,true,true,true
628,Love's Travel Stop #628,Travel Stop,1021 Dale Evans Dr,Italy,TX,76651,32.193688,-96.898726,,,110,true,true,true
46,Love's Travel Stop #46,Travel Stop,201 W Highway 54,Hooker,OK,73945,36.859012,-101.20904,,,33,true,true,false
651,Love's Travel Stop #651,Travel Stop,1188 S. Oak St.,Van,TX,75790,32.509097,-95.644745,I-20,540 @ FM 314,74,true,true,true
886,Love's Travel Stop #886,Travel Stop,2580 High St,Sarcoxie,MO,64862,37.076446,-94.104167,I-44,29,98,true,true,true
287,Love's Travel Stop #287,Travel Stop,1221 S. Oak St,Van,TX,75790,32.50828,-95.642465,I-20,540,67,true,true,true
966,Love's Travel Stop #966,Travel Stop,651 E Mercer,Jasper,MO,64755,37.340655,-94.294459,I-49,66,61,true,true,true
