id,name,state,city,provenance,publication_verdict,facility_verdict,coordinate_verdict,overnight_verdict,reason_codes,duplicate_candidate_ids,completeness_score,pending_reports,candidate_source_to_verify,owner_action
e7edb2b3-ca16-40d5-b412-7435c59bd132,I-75 Rest Area — Northbound (Miami County),OH,Piqua,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING SPACE_COUNT_UNSOURCED AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,55,0,https://www.transportation.ohio.gov,retrieve and record source: https://www.transportation.ohio.gov
97a91141-ec4d-49fb-b8d2-4c30a90c308a,I-75 Rest Area — Southbound (Miami County),OH,Piqua,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,51,0,https://www.transportation.ohio.gov,retrieve and record source: https://www.transportation.ohio.gov
640d6b42-4c71-4eb9-b734-da42ae182bab,My Parking Hub - Toledo (Sam's Hub Access),OH,Toledo,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING OVERNIGHT_LEGACY_BOOLEAN_ONLY AMENITIES_UNSOURCED FREE_PAID_UNSOURCED RESERVABILITY_UNSOURCED,,43,0,https://myparkinghub.com/,retrieve and record source: https://myparkinghub.com/
e1730d2e-0567-43bc-a3db-6e15a0f8cb11,Toledo Truck Hub,OH,Toledo,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING OVERNIGHT_LEGACY_BOOLEAN_ONLY AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,43,0,http://toledotruckhub.com/,retrieve and record source: http://toledotruckhub.com/
d243ac8c-5b16-4d91-b0be-38e63fc99da2,Truck Parking Club - 2601 Verity Pkwy (Middletown),OH,Middletown,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING OVERNIGHT_LEGACY_BOOLEAN_ONLY FREE_PAID_UNSOURCED RESERVABILITY_UNSOURCED,,59,0,https://truckparkingclub.com/truck-parking/ohio/middletown/2601-verity-pkwy-suite-6-45044,retrieve and record source: https://truckparkingclub.com/truck-parking/ohio/middletown/2601-verity-pkwy-suite-6-45044
3d065e68-3f21-47d9-8ace-4670366e6fed,Truck Parking Club - 6180 Hagman Rd (Toledo),OH,Toledo,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING FREE_PAID_UNSOURCED RESERVABILITY_UNSOURCED,,53,0,https://truckparkingclub.com/truck-parking/ohio/toledo/6180-hagman-rd-43612,retrieve and record source: https://truckparkingclub.com/truck-parking/ohio/toledo/6180-hagman-rd-43612
6ad4784a-e243-424d-add0-f86c493522d8,"Hamer Welcome Center (I-95 SB, NC line)",SC,Hamer,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,46,0,https://www.scdot.org/,retrieve and record source: https://www.scdot.org/
a78733d7-c361-4bb9-b33b-fce85430accb,Santee Rest Area (Northbound),SC,Santee,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,43,0,https://www.scdot.org/,retrieve and record source: https://www.scdot.org/
b0bc8564-8366-420d-ae6b-5e7beba07881,Santee Welcome Center (Southbound),SC,Santee,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,46,0,https://www.scdot.org/,retrieve and record source: https://www.scdot.org/
992872b0-b0e0-4f51-867c-1460666822b7,South Carolina Welcome Center (I-95 NB),SC,Hardeeville,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,57,0,https://discoversouthcarolina.com,retrieve and record source: https://discoversouthcarolina.com
f06d1393-166a-44a7-8ea1-9bb9ffdf749a,Turbeville Rest Area (I-95 MM 139),SC,Turbeville,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,43,0,https://www.scdot.org/,retrieve and record source: https://www.scdot.org/
a57aadf4-496b-4065-83e8-5c87885bf2b0,Benton County I-40 Eastbound Rest Area (Loretta Lynn / Hank Williams Rest Area),TN,Holladay,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,68,0,https://smartway.tn.gov/traffic/text/region/4/restareas/route/I-40,retrieve and record source: https://smartway.tn.gov/traffic/text/region/4/restareas/route/I-40
188b983c-bfc5-4d1d-9027-02850775a06a,Benton County I-40 Westbound Rest Area,TN,Holladay,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,57,0,https://smartway.tn.gov/traffic/text/region/4/restareas/route/I-40,retrieve and record source: https://smartway.tn.gov/traffic/text/region/4/restareas/route/I-40
39d8b991-c7a4-4631-82f9-23f3e3947ae9,Dickson County Rest Area - I-40 Eastbound (MM 170),TN,Dickson,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,43,0,https://smartway.tn.gov/traffic/text/region/3/restareas/route/I-40,retrieve and record source: https://smartway.tn.gov/traffic/text/region/3/restareas/route/I-40
c4c53150-93d8-46e4-a4a5-8a5ede62e6ec,Dickson County Rest Area - I-40 Westbound (MM 170),TN,Dickson,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,43,0,https://smartway.tn.gov/traffic/text/region/3/restareas/route/I-40,retrieve and record source: https://smartway.tn.gov/traffic/text/region/3/restareas/route/I-40
f2afcd23-d5f0-4a59-b8b0-00b83e24da33,"I-40 Cumberland County Rest Area (Eastbound, MM 324.4)",TN,Crossville,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,43,0,https://www.tennesseerestareas.com/tn-i40-cumberland-county-rest-area-eastbound-mm-324-4/,retrieve and record source: https://www.tennesseerestareas.com/tn-i40-cumberland-county-rest-area-eastbound-mm-324-4/
9294ef9c-0e44-440c-a480-81bc00da21e5,"I-40 Cumberland County Rest Area (Westbound, MM 326.6)",TN,Crossville,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,43,0,https://www.tennesseerestareas.com/,retrieve and record source: https://www.tennesseerestareas.com/
5f8a9e1f-6fd6-411f-83aa-6a56f2cb8c97,"I-65 Northbound Truck Parking Area (former weigh station, Robertson County)",TN,Mitchellville,legacy-import,non-parking,weigh-or-inspection-only,missing,unknown,WEIGH_STATION_NOT_PARKING PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING,,39,0,https://www.tn.gov/tdot/projects/region-3/i-65-nashville-to-ky-state-line.html,recategorise or reject
84220419-b8f4-47eb-bae1-d9fb3dc20040,"TDOT Haywood County Welcome Center / Rest Area (I-40 Westbound, MM 44-45)",TN,Stanton,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,51,0,https://www.tn.gov/tdot/engineering-operations-division/welcome-center-rest-areas.html,retrieve and record source: https://www.tn.gov/tdot/engineering-operations-division/welcome-center-rest-areas.html
d375452a-670c-4a2e-8d3e-92fc53756210,"TDOT I-65 Truck Parking Area (former Northbound Weigh Station, Giles County)",TN,Ardmore,legacy-import,non-parking,weigh-or-inspection-only,missing,unknown,WEIGH_STATION_NOT_PARKING PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING,,43,0,https://www.tn.gov/tdot/projects/region-3/i-65-nashville-to-ky-state-line.html,recategorise or reject
