listing_id,business_name,city,state,interstate,lat,lng,severity,findings,miles_outside_state,miles_outside_corridor
97c2f56e-498f-48f7-90e7-3f44713cd4ab,Motel 6 Berea,Berea,KY,I-75,,,no-coordinates,no-coordinates,,
bcae0f5b-0105-4eb0-a456-e9a27067846b,Motel 6 Dickson,Dickson,TN,I-40,,,no-coordinates,no-coordinates,,
076b546a-e264-4c18-abfc-bb32380ceaf5,"Motel 6 Georgetown, KY - Lexington North",Georgetown,KY,I-75,,,no-coordinates,no-coordinates,,
739d2f45-39e1-4353-9a1d-44d4641c129c,"Motel 6 Memphis, TN - East (Sycamore View)",Memphis,TN,I-40,,,no-coordinates,no-coordinates,,
a2a5fbfa-7592-47d9-b1ea-b92b20de7058,Motel 6 Morrilton,Morrilton,AR,I-40,,,no-coordinates,no-coordinates,,
3aa48c88-8252-4fc1-b386-64a39afeae7a,"Motel 6 Nashville, TN - Airport",Nashville,TN,I-40,,,no-coordinates,no-coordinates,,
6df1efd9-c205-446d-a485-6e7aa43e3762,Motel 6 North Little Rock,North Little Rock,AR,I-40,,,no-coordinates,no-coordinates,,
5be874bb-ebc4-45d6-a70c-18a96c727c5c,"Motel 6 Pulaski, TN",Pulaski,TN,I-65,,,no-coordinates,no-coordinates,,
7772b269-fcc4-40df-a5f8-84c8a851880f,"Motel 6 Seymour, IN - North",Seymour,IN,I-65,,,no-coordinates,no-coordinates,,
e5b8447a-f9cd-4f17-a967-5531916edd12,Motel 6 Toledo,Toledo,OH,I-75,,,no-coordinates,no-coordinates,,
4851db39-17a3-4025-877d-966353811088,Motel 6 West Memphis,West Memphis,AR,I-40,,,no-coordinates,no-coordinates,,
10905c05-3522-4be3-892e-19218c42f507,Motor City Truck Plaza,Detroit,MI,I-75,,,no-coordinates,no-coordinates,,
943d41c1-4b32-41d2-b585-af228ee8277b,Mount Vernon Fuel Center,Mount Vernon,KY,I-75,,,no-coordinates,no-coordinates,,
34ba01ad-945f-4960-b099-01964f28815d,Mr. Fuel Travel Center (One9 Fuel Network),Walton,KY,I-75,,,no-coordinates,no-coordinates,,
640d6b42-4c71-4eb9-b734-da42ae182bab,My Parking Hub - Toledo (Sam's Hub Access),Toledo,OH,I-75,,,no-coordinates,no-coordinates,,
000c91b2-9827-443c-8669-5f07c833f485,Naples Truck and Tire,Naples,FL,I-75,,,no-coordinates,no-coordinates,,
74aacea6-d2b2-4040-88d9-dbbb25571af5,Nassau County Weigh Station (I-95),Yulee,FL,I-95,,,no-coordinates,no-coordinates,,
eb9c78fe-c2af-4ceb-9cdd-7ec1ee2993ce,National Truck Parking Miami,Hialeah Gardens,FL,I-75,,,no-coordinates,no-coordinates,,
d77a0666-bf9e-43fc-a772-cd7f0f5fa821,Nebo Truck Stop,Nebo,NC,I-40,,,no-coordinates,no-coordinates,,
63337a0c-f3e4-4af5-ae0c-ba30923c6f18,NEU CLARK 24 Hour Truck Stop,Lima,OH,I-75,,,no-coordinates,no-coordinates,,
f637c363-ed64-4c52-be7c-3bf5b7a32a90,Newark Toll Plaza Commercial Vehicle Enforcement,Newark,DE,I-95,,,no-coordinates,no-coordinates,,
523080e8-e097-4129-a1fd-6971162dc8c0,Newport Truck and Trailer Repair - Fleet Truck Parking,Newport,TN,I-40,,,no-coordinates,no-coordinates,,
97e31e0f-bc66-4f04-af6a-f802c20e42c2,Newport Truck and Trailer Repair & Heavy Duty Towing,Newport,TN,I-40,,,no-coordinates,no-coordinates,,
587b9f17-2d09-4a6b-90c2-0ed467f935f9,Newtown Truck Service,Alma,AR,I-40,,,no-coordinates,no-coordinates,,
b23b7bb8-2aab-4205-bdd6-173a12dd5b3e,Noble's Restaurant and Truck Stop,Corinth,KY,I-75,,,no-coordinates,no-coordinates,,
22a4681b-6a31-4b56-a959-f4b3fe40ab2f,North American Trade Schools (CDL Program),Baltimore,MD,I-95,,,no-coordinates,no-coordinates,,
2063c01e-5281-4755-bb20-ddf02a1653bd,North Carolina Welcome Center - I-40 West (Haywood County),Waynesville,NC,I-40,,,no-coordinates,no-coordinates,,
046b382e-6805-4be0-867d-d919b6cedadb,North Carolina Welcome Center - I-95 Northampton,Pleasant Hill,NC,I-95,,,no-coordinates,no-coordinates,,
6b62a621-ad4e-4aa3-9737-232189c123ce,"North Dixie Truck & Trailer, Inc.",Lima,OH,I-75,,,no-coordinates,no-coordinates,,
e2d59ea7-f110-4411-809a-0cbce128191e,Oasis Travel Center (Lakewood Landing),Halifax,NC,I-95,,,no-coordinates,no-coordinates,,
9d5a2272-c6dd-4da0-bebb-cefcb166dbca,Ohio Weigh Station - I-75 Northbound (Wood County),North Baltimore,OH,I-75,,,no-coordinates,no-coordinates,,
9c02196d-c003-4a1c-8d12-900557e6c70f,Ohio Weigh Station - I-75 Southbound (Hancock County),Findlay,OH,I-75,,,no-coordinates,no-coordinates,,
c2da6e30-1a23-4b1a-9160-4a8687518b3b,On Call Tire Service,Mayflower,AR,I-40,,,no-coordinates,no-coordinates,,
71be62b4-a262-4f8d-b1df-481f987e5298,On-Site Truck and Trailer Services,Metropolis,IL,I-24,,,no-coordinates,no-coordinates,,
2e036deb-3b94-41b3-9fcb-fd5b71923e44,ONE9 Travel Center (former Pilot Travel Center #254),Wildwood,GA,I-24,,,no-coordinates,no-coordinates,,
e780ec0a-3a95-42b8-b7bd-eca1cadf2a72,ONE9 Travel Center (Pilot #265),Cookeville,TN,I-40,,,no-coordinates,no-coordinates,,
5cf98762-e51b-4116-8a71-1934fcc47f35,ONE9 Travel Center (Pilot #89) - Ellenton,Ellenton,FL,I-75,,,no-coordinates,no-coordinates,,
69f1f244-c4c0-480b-9e95-f1b02554cb6b,ONE9 Travel Center (Pilot Company),Brinkley,AR,I-40,,,no-coordinates,no-coordinates,,
cc5fe530-72f9-4f40-82de-bb55487a82cc,ONE9 Travel Center #1366,Holladay,TN,I-40,,,no-coordinates,no-coordinates,,
5fc5e9a4-17f9-40c7-9c65-d3904e90140f,ONE9 Travel Center #226,Dandridge,TN,I-40,,,no-coordinates,no-coordinates,,
6f8465f7-12d6-48a5-afd8-fb057a1d18fb,Ozark Inn & Suites,Ozark,AR,I-40,,,no-coordinates,no-coordinates,,
89e875dc-9852-4f4d-9a5e-0265fd2f564c,Ozark Truck & Travel Plaza,Alma,AR,I-40,,,no-coordinates,no-coordinates,,
ed738afc-075b-4843-8a9c-519adbdb102a,Palmetto Truck Plaza,Hialeah Gardens,FL,I-75,,,no-coordinates,no-coordinates,,
df94342a-aa2a-4c08-856b-45a042b25388,Park City Truck Park (Truck Parking Club),Goodlettsville,TN,I-65,,,no-coordinates,no-coordinates,,
9668985d-0c95-4ec6-9d8f-55c3a0e4b034,Parker's Kitchen #69,Pooler,GA,I-95,,,no-coordinates,no-coordinates,,
7dd25bf6-0e6b-40f2-b2f8-6f84541b781f,Pat's Tire,West Palm Beach,FL,I-95,,,no-coordinates,no-coordinates,,
34fc2993-dbed-4d8f-8882-b05e7a4a3942,Pathway Travel Plaza,Adairsville,GA,I-75,,,no-coordinates,no-coordinates,,
e587e93e-816e-4cb7-ac11-c681dcae2cd7,Pedro's / Porky's Truck Stop (South of the Border),Hamer,SC,I-95,,,no-coordinates,no-coordinates,,
