listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action,confidence_reason,reviewer_notes,priority
d80ff428-3f9d-400d-903d-a35ee8aa95ec,Big Foot Travel Center,truck-stops,1311 Hwy 122 W,Hahira,GA,31632,,,31.000556,-83.386482,low,,mile-marker interpolation; interpolated between mileposts 16 and 39 (gap 23 mi),manual-review,anchor gap based; capped at medium by design,,normal
d9b97d0d-705a-40ce-9e78-f1184727f6eb,Crazy Ed's Travel Center,truck-stops,547 Highway 309,Niota,TN,37826,,,35.545167,-84.565514,medium,,mile-marker interpolation; interpolated between mileposts 56 and 56 (gap 0 mi); interpolated point is within 0.05 mi of listing 5adb811d-9b49-4829-a08f-75481f80a864,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 5adb811d-9b49-4829-a08f-75481f80a864,high
dbf0f5f0-3fa6-4f92-98f5-40f76579d5c8,"CAT Scale — Pilot Travel Center #4598, Niota",cat-scales,507 Hwy 309,Niota,TN,37826,,,35.545167,-84.565514,medium,,mile-marker interpolation; interpolated between mileposts 56 and 56 (gap 0 mi); interpolated point is within 0.05 mi of listing 5adb811d-9b49-4829-a08f-75481f80a864,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 5adb811d-9b49-4829-a08f-75481f80a864,high
dd7fbadd-a3f0-4c41-a4dd-8cb7a57ad7ba,"CAT Scale — Love's Travel Stop #550, Valdosta",cat-scales,2315 Old Clyattville Rd,Valdosta,GA,31601,,,30.774240,-83.298490,medium,,mile-marker interpolation; interpolated between mileposts 13 and 13 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
e0313d78-4c15-4c8c-a6cf-827c797b1869,Quality Inn West Sweetwater,hotels-truck-parking,249 Hwy 68,Sweetwater,TN,37874,,,35.598570,-84.516427,medium,,mile-marker interpolation; interpolated between mileposts 56 and 62 (gap 6 mi),manual-review,anchor gap based; capped at medium by design,,high
e1219266-0289-4b70-83aa-b122fa95993d,"Truck Parking Club - 1340 Joe Frank Harris Pkwy SE, Cartersville",parking,1340 Joe Frank Harris Pkwy SE,Cartersville,GA,30120,,,34.204645,-84.765267,medium,,mile-marker interpolation; interpolated between mileposts 283 and 293 (gap 10 mi),manual-review,anchor gap based; capped at medium by design,,high
e151d192-88be-4548-ab2f-fd5e19590ff1,Kwik Fuel Center (Lee's Travel Center),truck-stops,2233 N Charles G Seivers Blvd,Clinton,TN,37716,,,36.165355,-84.077276,low,,mile-marker interpolation; interpolated between mileposts 117 and 134 (gap 17 mi),manual-review,anchor gap based; capped at medium by design,,normal
e2c31cbf-a70b-4617-abb9-d65d6d747c83,CAT Scale — TA Cartersville,cat-scales,981 Cassville-White Rd,Cartersville,GA,30121,,,34.273972,-84.807762,medium,,mile-marker interpolation; interpolated between mileposts 296 and 296 (gap 0 mi); interpolated point is within 0.05 mi of listing 0f848a8a-9f2f-4e89-bed3-97d656bcd25d,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 0f848a8a-9f2f-4e89-bed3-97d656bcd25d,high
ea438e19-dcd1-402a-a424-e243df58e1c6,Pride Truck Wash,truck-washes,1651 Everett Rd,Knoxville,TN,37932,,,35.873100,-84.237900,medium,,mile-marker interpolation; interpolated between mileposts 369 and 369 (gap 0 mi); interpolated point is within 0.05 mi of listing 46c70f80-8582-44d1-a7b6-ea9423392fea,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 46c70f80-8582-44d1-a7b6-ea9423392fea,high
ec42dd30-c4fc-415f-9b7e-c4627f74bae6,TA Truck Service - Petro Knoxville,tire-repair,722 Watt Rd,Knoxville,TN,37934,,,35.873100,-84.237900,medium,,mile-marker interpolation; interpolated between mileposts 369 and 369 (gap 0 mi); interpolated point is within 0.05 mi of listing 46c70f80-8582-44d1-a7b6-ea9423392fea,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 46c70f80-8582-44d1-a7b6-ea9423392fea,high
ecdaf4ed-6ee3-44b4-ac84-7c8149c63055,Southern Tire Mart at Pilot - Niota,tire-repair,543 Highway 309,Niota,TN,37826,,,35.545167,-84.565514,medium,,mile-marker interpolation; interpolated between mileposts 56 and 56 (gap 0 mi); interpolated point is within 0.05 mi of listing 5adb811d-9b49-4829-a08f-75481f80a864,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 5adb811d-9b49-4829-a08f-75481f80a864,high
f4591f0b-087b-4856-8957-5a7e020fa209,Love's Travel Stop #801,truck-stops,1525 E 8th Ave,Cordele,GA,31015,,,31.975579,-83.758552,medium,,mile-marker interpolation; interpolated between mileposts 102 and 102 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
f9e3ec91-4b3f-4c36-a174-96eafb9e907e,ONE9 Travel Center #403,truck-stops,1915 E Raccoon Valley Dr,Heiskell,TN,37754,,,36.111070,-84.020183,medium,,mile-marker interpolation; interpolated between mileposts 117 and 117 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
f9ecb604-3fd2-46b9-bd2c-36a798aa3f37,Love's Truck Care - Love's Travel Stop #364,tire-repair,200 Lower River Rd,Charleston,TN,,,,35.291951,-84.818048,medium,,mile-marker interpolation; interpolated between mileposts 33 and 33 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
