listing_id,address,city,state,zip,interstate
268e78c1-514e-4c7c-a65e-e14e47d34c68,415 W Seymour Ave,Cincinnati,OH,45216,I-75
2701ec88-7347-4c3f-bd8d-080b9c8a2798,4287 S Indianapolis Rd,Whitestown,IN,46075,I-65
270d9f77-5fe0-4907-a95c-c7d39f6b2756,145 N Dowling St,Austin,IN,47102,I-65
27490a78-a0da-432e-9f3b-7d351f0b1ef4,4155 S Indianapolis Rd,Whitestown,IN,46075,I-65
277f07bd-626c-4e6a-ba01-55dcae73dba5,7311 Highway 104 N,Cedar Grove,TN,38321,I-40
27a1a923-bb4b-4022-bdd5-d0397249ed58,2141 Gamble Rd,Savannah,GA,31405,I-95
27c0d036-6d49-449f-963a-a57b7b3e1784,1921 N Wesleyan Blvd,Rocky Mount,NC,27804,I-95
28410ba0-b864-4c43-97cc-93a77a819342,1624 Bear Creek Pike,Columbia,TN,38401,I-65
289a8cee-2feb-4452-9a37-b821e45c8d48,1602 Salem Rd,Cookeville,TN,,I-40
28c41568-118b-4e1f-aee1-469f8a634af9,185 Dungeness Dr,Brunswick,GA,31523,I-95
28ed1b57-596a-42e2-bcb7-55434d32fe02,3240 Point Mallard Parkway SE,Priceville,AL,35603,I-65
2937ca5e-063c-4ac7-b4c4-0e7da286f488,980 W South Blvd,Montgomery,AL,36105,I-65
29c0000b-e9ee-401d-a502-417243b91f6c,3948 Hodges Chapel Rd,Dunn,NC,28334,I-95
29e9199c-a535-47dd-8d12-887485484bc3,12921 Duval Rd,Jacksonville,FL,32218,I-95
29fb50b8-541c-4cca-ade0-56b26c5cb203,942 W Portage Ave,Sault Ste. Marie,MI,49783,I-75
2a3d7c32-e385-41db-9b12-6111d7fa91fc,I-95/I-495 near US 1,College Park,MD,20740,I-95
2a63ae26-efa4-4591-bd3d-63f45bf8639c,1250 West Breese Road,Lima,OH,45806,I-75
2a82ff99-4e7f-4fed-b606-c88f0bd36b95,12906 Deshler Rd,North Baltimore,OH,45872,I-75
2aafd4fa-3045-492d-a047-49a8ada973dd,249 W Cumberland Gap Pkwy,Corbin,KY,40701,I-75
2b1af141-43f3-492d-924d-7273b920acc4,211 KY Highway 36 W,Williamstown,KY,41097,I-75
2b1f5234-36bf-413f-8c40-3c9836ada6bd,1210 Sparta Pike,Lebanon,TN,37090,I-40
2b7ac68a-1cd0-45d2-94bd-6ca204ce34ee,2501 Burr St,Gary,IN,46406,I-65
2b918267-6d9e-42db-ba42-77f879f9dc43,104 N Dogwood Dr,Berea,KY,40403,I-75
2c075ea6-0ffe-4f08-8bcc-9d0a027c1ff3,744 E State Road 44,Wildwood,FL,34785,I-75
2e036deb-3b94-41b3-9fcb-fd5b71923e44,650 GA-299,Wildwood,GA,30757,I-24
2e9b34a1-7c38-4a1d-92da-d2286d07976d,7928 Dream St,Florence,KY,41042,I-75
2ec38723-669c-469b-9c6f-fd57a5df2d79,2351 Buena Vista Rd,Lexington,KY,40505,I-75
2ee7a28a-71ac-46f8-9998-2f9ae6fcf852,1226 21st Street Drive SE,Hickory,NC,28602,I-40
2f8d337f-56bf-4d5d-bfca-44de796066ca,7791 NW 47th Ave,Ocala,FL,34482,I-75
3029ff4b-9279-4724-8b75-af63b0f9fb38,202 Highway 75 N,Heth,AR,72346,I-40
304c91be-ba96-4f09-83ec-8258f6ed4716,194 Sims Pike,Georgetown,KY,40324,I-75
30dfb520-e018-457f-ba09-eb3a455c8aab,3730 Speedway Drive,Findlay,OH,45840,I-75
31584983-7e0f-4210-9f62-8cf69cc29ec4,12906 Deshler Rd,North Baltimore,OH,45872,I-75
31718477-7df3-4315-ab74-52083054b6e5,2870 Nathan St,Newton,NC,28658,I-40
31a18b65-6475-4880-9203-f8d44505a815,1523 Avco Blvd,Sellersburg,IN,47172,I-65
31e4c5c3-a520-47b8-9637-1e859c65c9a9,604 Balfour Rd,West Memphis,AR,72301,I-40
3201e509-b4b9-4cc6-b37c-7c8e2becd7c6,6499 Broadway,Merrillville,IN,46410,I-65
321b8c5c-5c9f-48e1-aa9c-fd0332dee69e,1100 N Dixie Hwy,Monroe,MI,48162,I-75
32e1f8ab-7b2c-425d-b046-bf14bd3e1a0a,3400 Service Loop Rd,West Memphis,AR,72301,I-40
32eb0641-192c-492f-9b89-cd3b90bfd871,800 Martin Luther King Dr #2,West Memphis,AR,72301,I-40
3330b910-184f-4852-a021-4653260d8e46,1589 Skippers Rd,Emporia,VA,23847,I-95
33c7ebe8-323c-4b35-a654-2ac4076fec1b,313 Porter Rd,Sadieville,KY,40370,I-75
33dd16f0-9cfc-486e-822f-83fe6ecf8197,3003 TV Rd,Florence,SC,29501,I-95
3424577e-6317-4273-9ec2-7f64adb7c073,25845 US-72,Athens,AL,35613,I-65
34933f4a-2f1f-46aa-ae03-e94c7050a0a3,4804 N White St,Whiteland,IN,46184,I-65
34ba01ad-945f-4960-b099-01964f28815d,118 Richwood Rd,Walton,KY,41094,I-75
34eeab35-566f-4210-befc-ef29c528d504,13781 Highway 641 N,Holladay,TN,38341,I-40
34fc2993-dbed-4d8f-8882-b05e7a4a3942,7746 GA-140,Adairsville,GA,30103,I-75
351caca3-836f-49e4-be14-a0eeb416a4b3,373 W Cumberland Gap Pkwy,Corbin,KY,40701,I-75
356e1901-c5fb-4252-97bc-9ff2b5b86935,65 W Main St,Greenwood,IN,46143,I-65
35d60aca-4c98-4307-bfff-f6b4f5004da2,6600 W 9th Ave,Gary,IN,46406,I-65
361472af-b496-4b3f-b7b0-d85b9ea310c0,3194 15th Ave Blvd SE,Conover,NC,28613,I-40
362f1bd5-2789-488a-8652-ffa580d9737a,921 Murfreesboro Rd,Lebanon,TN,37090,I-40
366ea2a6-4116-4ce3-bc64-01fdac0dcb60,100 Fish Lake Road,Atkins,AR,72823,I-40
36d48fe4-d2ce-4d99-987a-9e8341644b7a,1105 E King Ave,Kingsland,GA,31548,I-95
36f8c6be-7609-4ada-92c7-9d344b0abf58,100 Highland Center Blvd,Asheville,NC,28806,I-40
37c4007f-e708-43e7-9ec3-42a933595dfa,2241 Fair Rd,Sidney,OH,45365,I-75
383a91a5-b35c-448c-ac46-a2204f600caa,162 Luyben Hills Rd,Kingston Springs,TN,37082,I-40
38aadae7-1aa0-4cf4-a426-5d7659174852,522 N Old Carriage Rd,Rocky Mount,NC,27804,I-95
38cc0860-23d0-41f4-acee-987625766068,8436 Ford Ave (GA-144),Richmond Hill,GA,31324,I-95
38ffb2aa-c692-4376-9d7c-4b39e745845d,2101 US Highway 49,Brinkley,AR,72021,I-40
394f5b7a-2970-453b-91d4-fc87c30a51a0,3400 Service Loop Rd,West Memphis,AR,72301,I-40
39a7ad06-c801-4b4f-8ea1-3d847839a62c,221 Belle Hill Road,Elkton,MD,21921,I-95
39dbba87-eb5b-4ec6-86e2-ce9a469dbed0,17308 Park 78 Dr,North Fort Myers,FL,33917,I-75
3a315155-9a8c-4d6f-8c1c-d3373bd4865e,3365 Sugar Hill Rd,Marion,NC,28752,I-40
3a3394cc-5ac2-4f22-bd59-158f71d062c9,2615 W C-48,Bushnell,FL,33513,I-75
3a8482af-f9c3-4155-a03f-d99781b094a7,13700 S US Highway 441,Lake City,FL,,I-75
3a916e0e-766f-4fe5-b3ac-6613861492e7,8145 Connector Dr,Florence,KY,41042,I-75
3aa48c88-8252-4fc1-b386-64a39afeae7a,701 Stewarts Ferry Pike,Nashville,TN,37214,I-40
3b130209-e596-4c15-a1fa-522cf7d933bc,2015 W Lucas St,Florence,SC,29501,I-95
3b1af415-b8bf-4ca7-85f5-a726b332c3ea,816 Industrial Dr,Monterey,TN,38574,I-40
3c6b703c-e8bb-418c-902c-1733badf33f6,4230 W US Hwy 24,Remington,IN,47977,I-65
3cbba395-9805-41ca-91c5-2a171aebab14,7150 Okeechobee Rd,Fort Pierce,FL,34945,I-95
3d065e68-3f21-47d9-8ace-4670366e6fed,6180 Hagman Rd,Toledo,OH,43612,I-75
3e0cd409-c3fc-4aa3-bdfd-0fe2587746f6,1990 Richmond St (US-25),Mount Vernon,KY,40456,I-75
3e2d7707-cfa9-4fff-a6e1-b564b40bfc32,21055 West Rd,Woodhaven,MI,48183,I-75
3e5fef77-bc72-4174-b45d-04f6096c8fde,408 Highway 149 N,Earle,AR,72331,I-40
3e75627b-f631-421e-ae02-45d39777a67b,100 Conway Ln,Evergreen,AL,36401,I-65
3ec4da2b-9df7-4bba-913c-c6023b9797ca,299 S Center St,Hickory,NC,28602,I-40
3ed0a98e-439f-4e6e-a0f6-24c6c3954c9b,1064 E 16th St,Seymour,IN,47274,I-65
3f7408df-a39e-46cd-843a-61694fabbe9c,918 W Atlantic St,Emporia,VA,23847,I-95
40e6a8f0-e686-4f00-8eba-65d11117ae7d,3600 Service Loop Rd,West Memphis,AR,72301,I-40
410fb4a6-1480-436d-b89b-b5721608cc2a,2501 Burr St,Gary,IN,46406,I-65
41310565-f89e-49e0-9596-d17a218a165b,7618 Old State Road 60,Sellersburg,IN,47172,I-65
4212adfe-4234-48bc-aa89-73a1d0ca09a8,1500 Amherst Rd,Knoxville,TN,37909,I-40
4286be9b-c51a-4be9-83ec-d9295237982f,2112 N Main St,Brinkley,AR,72021,I-40
42fe1af3-f619-4058-a721-afb10238dae3,215 AR-331 N,Russellville,AR,72802,I-40
