listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action
9fa8f22a-5b4b-40a7-a594-885560ee35a0,CAT Scale at Pilot Travel Center (Hebron),cat-scales,18011 Colorado St,Hebron,IN,46341,,,41.291369,-87.295909,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 18011 Colorado St, Hebron, IN 46341; matched: 18011 COLORADO ST, HEBRON, IN, 46341",ready
9fc4690a-b7e5-401b-84b7-25290c232a2b,Conlee Travel Center - Birch Run,truck-stops,9180 E Birch Run Rd,Birch Run,MI,48415,,,43.250136,-83.771553,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 9180 E Birch Run Rd, Birch Run, MI 48415; matched: 9180 BIRCH RUN RD, BIRCH RUN, MI, 48415",ready
a07fae97-fa99-4f05-9ce1-7ce68d531e5a,CAT Scale at Love's Travel Stop #244,cat-scales,2050 Highway 70 E,Jackson,TN,38305,,,35.677206,-88.745990,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 2050 Highway 70 E, Jackson, TN 38305; matched: 2050 HWY 70 E, JACKSON, TN, 38305",ready
a109cc92-378c-4d57-ac39-da50a5c2a2c6,Flying J / ONE9 Travel Center #713,truck-stops,111 Mill Branch Rd,Latta,SC,29565,,,34.336135,-79.536737,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 111 Mill Branch Rd, Latta, SC 29565; matched: 111 MILL BRANCH RD, LATTA, SC, 29565",ready
a18196bd-7c30-48c5-854d-f9a588f7fe5e,CAT Scale at Love's Travel Stop #450,cat-scales,800 Martin Luther King Dr,West Memphis,AR,72301,,,35.153718,-90.137693,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 800 Martin Luther King Dr, West Memphis, AR 72301; matched: 800 MARTIN LUTHER KING JR DR, WEST MEMPHIS, AR, 72301",ready
a199a4b9-60d4-4e07-9a81-b518b722a483,Love's Truck Care #306,tire-repair,1058 Deep Springs Rd,Dandridge,TN,37725,,,36.011285,-83.532369,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 1058 Deep Springs Rd, Dandridge, TN 37725; matched: 1058 DEEP SPRINGS RD, DANDRIDGE, TN, 37725",ready
a1b16ec7-c91b-4173-8790-c48f19ff7cf7,CAT Scale at Flying J Brunswick (#627),cat-scales,2990 US Hwy 17 S,Brunswick,GA,31523,,,31.139242,-81.578275,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 2990 US Hwy 17 S, Brunswick, GA 31523; matched: 2990 US HWY 17, BRUNSWICK, GA, 31523",ready
a218b1d7-0741-45dd-966b-364b328b7795,Speedco at Love's Travel Stop #822 (Love's Truck Care),tire-repair,1025 S Crawford St,Clarksville,AR,72830,,,35.460762,-93.481132,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 1025 S Crawford St, Clarksville, AR 72830; matched: 1025 S CRAWFORD ST, CLARKSVILLE, AR, 72830",ready
a2881397-1a79-4517-be05-ad60362466c9,CAT Scale at Pilot Perryville,cat-scales,31 Heather Lane,Perryville,MD,21903,,,39.588707,-76.065986,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 31 Heather Lane, Perryville, MD 21903; matched: 31 HEATHER LN, PERRYVILLE, MD, 21903",ready
a2a5fbfa-7592-47d9-b1ea-b92b20de7058,Motel 6 Morrilton,hotels-truck-parking,1506 N Oak St,Morrilton,AR,72110,,,35.170568,-92.744421,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 1506 N Oak St, Morrilton, AR 72110; matched: 1506 N OAK ST, MORRILTON, AR, 72110",ready
a4208eeb-b29b-455a-8c1f-00debf6b8670,Fick & Sons Diesel Garage - Grayling,tire-repair,5800 Nelson A Miles Pkwy,Grayling,MI,49738,,,44.600633,-84.712410,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 5800 Nelson A Miles Pkwy, Grayling, MI 49738; matched: 5800 NELSON A MILES PKWY, GRAYLING, MI, 49738",ready
a57598de-7650-40f5-a6c7-57697b006955,TAG Truck Center - Jackson (Freightliner/Western Star),roadside-service,3655 Ridgecrest Rd Ext,Jackson,TN,38305,,,35.676137,-88.752274,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 3655 Ridgecrest Rd Ext, Jackson, TN 38305; matched: 3655 RIDGECREST RD EXD, JACKSON, TN, 38305",ready
