source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,has_parking
894,Pilot Dealer,Pilot,Pilot Dealer #894,3002 US-57,Eagle Pass,TX,78852,28.709887451703505,-100.46406576034705,,,US-277 & US-57,100,6,0,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash,true
967,Pilot Dealer,Pilot,Pilot Dealer #967,6606 E Broadway Ave,Spokane,WA,99212,47.663286703580404,-117.3160041620407,I-90,286,"I-90, Exit 286",40,5,0,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Drivers Lounge | Game Room | Lottery | Truck Parking Spaces,true
1001,Pilot Travel Center,Pilot,Pilot Travel Center #1001,1310 US-67,Big Lake,TX,76932,31.1904977,-101.4497547,,,US-67,40,6,6,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true
1003,Pilot Travel Center,Pilot,Pilot Travel Center #1003,2301 Avenue F NW,Childress,TX,79201,34.43542535042794,-100.23050008465576,,,Hwy 83/62 & Hwy 287,81,7,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true
1163,Pilot Dealer,Pilot,Pilot Dealer #1163,6406 Emlenton Clintonville Rd,Emlenton,PA,16373,41.17533063091578,-79.7400044558197,I-80,42,"I-80, Exit 42",65,6,0,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Public Laundry | Truck Parking Spaces,true
1171,Flying J Dealer,Flying J,Flying J Dealer #1171,1057 S. Lower Flat Top Drive,Mesquite,NV,89027,36.78403001681751,-114.14060375714723,I-15,118,"I-15, Exit 118",69,8,6,,,false,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | DEF Lanes | Truck Parking Spaces,true
1175,Pilot Travel Center,Pilot,Pilot Travel Center #1175,14905 Cordes Lake Road,Mayer,AZ,86333,34.32741874206012,-112.11799225871981,I-17,262,"I-17, Exit 262",25,6,0,,,true,Diesel Lanes | ATM | Bulk Propane | CAT Scale | DEF Lanes | Lottery | Truck Parking Spaces | Mobile Ordering,true
1178,Pilot Express,Pilot,Pilot Express #1178,9255 S Rita Rd,Tucson,AZ,85747,32.084413897201586,-110.8033038914695,I-10,273,"I-10, Exit 273",9,4,0,,,true,Diesel Lanes | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | DEF Lanes | Lottery | Truck Parking Spaces | Mobile Ordering,true
1180,Pilot Travel Center,Pilot,Pilot Travel Center #1180,41112 W Indian School Rd,Tonopah,AZ,85354,33.494105604895424,-112.93789823619366,I-10,94,"I-10, Exit 94",66,6,3,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true
4619,Pilot Travel Center,Pilot,Pilot Travel Center #4619,1318 E Lee Hwy,Wytheville,VA,24382,36.93871415442906,-80.99264008756388,I-81,77,"I-81/77, Exit 77",150,8,11,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true
4642,Pilot Travel Center,Pilot,Pilot Travel Center #4642,1014 Mt Olive Rd,Toms Brook,VA,22660,38.96670393993694,-78.43830410491084,I-81,291,"I-81, Exit 291",145,10,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true
4649,Pilot Travel Center,Pilot,Pilot Travel Center #4649,713 Oakland Cir,Raphine,VA,24472,37.93192394411583,-79.23164687209017,I-81,205,"I-81/64, Exit 205",129,12,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true
23,ONE9 Travel Center,ONE9,ONE9 Travel Center #23,7205 S State Rd,Ionia,MI,48846,42.88296566287978,-85.07382574117912,I-96,67,"I-96, Exit 67",20,6,4,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Mobile Ordering,true
36,ONE9 Travel Center,ONE9,ONE9 Travel Center #36,4105 US-30 E,Valparaiso,IN,46383,41.448527,-87.010376,,,US-30 & IN-49,25,4,3,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true
64,Mr. Fuel Travel Center,Mr. Fuel Travel Center,Mr. Fuel Travel Center #64,1521 N Main St,Summerville,SC,29486,33.03891850148002,-80.14231133007678,I-26,199B,"I-26, Exit 199B",15,5,3,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true
48,Pilot Travel Center,Pilot,Pilot Travel Center #48,58 Glendale Hodgenville Rd W,Glendale,KY,42740,37.5955972832017,-85.86489468978714,I-65,86,"I-65, Exit 86",125,11,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true
