db_id,source_ref,official_name,db_name,state,city,lat,lng,interstate,exit_number,parking_spaces,existing_parking_spaces,fills,never_written,evidence,currently_published,currently_has_coord,receives_map_pin
a70da55a-2a2e-420a-953c-4b6d46e1c435,652,Flying J Travel Center,Flying J Travel Center #652,IN,Lebanon,40.0323480743644,-86.47280271031188,,139,,150,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
0ecffefe-7964-4da6-9052-c230adc0a249,695,Flying J Travel Center,Flying J Travel Center #695,OH,Beaverdam,40.832295840216204,-83.9673392043686,,135,,150,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
d7247403-1ed3-49de-83a5-af2862cdbd9f,1550,Pilot Travel Center,Pilot Travel Center #1550 (Good Hope),AL,Cullman,34.116865025472514,-86.86373995824155,,,,70,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
5aecf10b-8e95-48a4-a815-da033b1d7cf4,1577,Pilot Travel Center,Pilot Travel Center #1577,TN,Pioneer,,,,141,88,,parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+coordinate_0m+brand,true,true,true
f68a555f-f314-4506-91bc-db780f009c31,97,Flying J Travel Center,Flying J Travel Center #97,OH,Vandalia,39.9024827,-84.1927628,,64,,110,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
7500cfb3-d609-4280-9869-356cb5588398,94,Pilot Travel Center,Pilot Travel Center #94,FL,Punta Gorda,26.8941468,-82.0092852,,161,39,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
50cf9353-443d-406e-b1d2-9889112e116c,575,Pilot Travel Center,Pilot Travel Center #575,GA,St. Mary's,30.760673125363606,-81.64907624610727,,1,235,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
99e14e2c-5498-4df1-b60b-7ff743aec8ae,605,Flying J Travel Center,Flying J Travel Center #605,AR,Russellville,35.28320640968396,-93.09000597552921,,84,,175,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
b89a9bb7-6833-4f23-8466-1d6660615cd3,58,ONE9 Travel Center,Pilot Travel Center #58 (ONE9),NC,Pleasant Hill,36.523299,-77.587281,,180,42,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
5c42f488-24de-40af-a67d-88e61d627d64,321,Pilot Travel Center,Pilot Travel Center #321,KY,Walton,38.91737631038006,-84.63245170304107,,175,,,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
