id	store_number	state	city	category_slug	is_published	has_coord	address	zip	lat	lng	interstate	source	name
f0129700-18d1-49cf-b92f-0be14a549686	627	GA	Brunswick	truck-stops	false	false	2990 US Hwy 17 S	31523			I-95	csv-import	Flying J Travel Center #627
c944296e-5c8f-4346-9755-b470a9aafe77	630	GA	Jackson	truck-stops	true	true	1125 Bucksnort Rd	30233	33.208006	-84.064004	I-75	csv-import	Flying J Travel Center #630
96b417a9-ff26-480a-bdea-4ce572470bd7	631	GA	Lake Park	truck-stops	true	true	7001 Lake Park Bellville Rd	31636	30.641236	-83.190486	I-75	csv-import	Flying J Travel Center #631
a178c35e-73ba-4c23-bbe4-605dc4a365c4	632	GA	Resaca	truck-stops	true	true	288 Resaca Beach Blvd	30735	34.576835	-84.946624	I-75	csv-import	Flying J Travel Center #632
a70da55a-2a2e-420a-953c-4b6d46e1c435	652	IN	Lebanon	truck-stops	true	false	520 S State Rd 39	46052			I-65	csv-import	Flying J Travel Center #652
9172f64e-0836-45fd-a136-3e9c914b7097	653	IN	Hebron	truck-stops	true	false	3231 E 181st Ave	46341			I-65	csv-import	Flying J Travel Center #653 (Hebron)
1dac7271-b06e-47a7-9845-3ea235276d79	656	IN	Whiteland	truck-stops	true	false	82 White St	46184			I-65	csv-import	Flying J Travel Center #656
54eb73aa-b523-42b7-bb42-be43bfe1e235	664	KY	Walton	truck-stops	true	false	13019 Walton Verona Rd	41094			I-75	csv-import	Flying J Travel Center #664
effb0793-cbed-44f7-b05c-3645ccfdda21	668	MI	Saginaw	truck-stops	true	false	3475 E Washington Rd	48601			I-75	csv-import	Flying J Travel Center #668 (Saginaw)
f97ef111-f094-422a-bc61-7362a0a27d26	683	NC	Kenly	truck-stops	false	false	1800 Princeton-Kenly Rd	27542			I-95	csv-import	Flying J Travel Center #683
0ecffefe-7964-4da6-9052-c230adc0a249	695	OH	Beaverdam	truck-stops	true	false	420 East Main Street	45808			I-75	csv-import	Flying J Travel Center #695
4e95994e-db22-4b01-9b6e-0af55d277eec	722	TN	Knoxville	truck-stops	true	true	800 Watt Rd	37932	35.8807	-84.2359	I-75	csv-import	Flying J Travel Center #722
d56cff01-0dcb-4610-82aa-920d1214a828	784	MD	North East	truck-stops	false	false	1 Center Drive	21901			I-95	csv-import	Flying J Travel Center #784
39a7ad06-c801-4b4f-8ea1-3d847839a62c	875	MD	Elkton	truck-stops	false	false	221 Belle Hill Road	21921			I-95	csv-import	Flying J Travel Center #875
3e2d7707-cfa9-4fff-a6e1-b564b40bfc32	895	MI	Woodhaven	truck-stops	true	false	21055 West Rd	48183			I-75	csv-import	Flying J Travel Center #895 - Woodhaven
f68a555f-f314-4506-91bc-db780f009c31	97	OH	Vandalia	truck-stops	true	false	175 Northwoods Blvd	45377			I-75	csv-import	Flying J Travel Center #97
1beb847b-eca9-4b86-a151-558340292504	624	FL	San Antonio	truck-stops	true	false	29933 State Road 52	33576			I-75	csv-import	Flying J Travel Plaza #624 (Dade City / San Antonio)
9b0bb934-cb3a-499c-b362-8f665e065b81	749	VA	Ruther Glen	truck-stops	false	false	23866 Rogers Clark Blvd	22546			I-95	csv-import	Flying J Travel Plaza #749 (Carmel Church)
34ba01ad-945f-4960-b099-01964f28815d		KY	Walton	truck-stops	true	false	118 Richwood Rd	41094			I-75	csv-import	Mr. Fuel Travel Center (One9 Fuel Network)
c8d0eb8c-df20-4bd7-89f2-038aa550c3ee		GA	Vienna	truck-stops	true	true	39 Victory Ln	31092	32.085408	-83.759891	I-75	csv-import	ONE9 Travel Center
2e036deb-3b94-41b3-9fcb-fd5b71923e44	254	GA	Wildwood	truck-stops	true	false	650 GA-299	30757			I-24	csv-import	ONE9 Travel Center (former Pilot Travel Center #254)
e780ec0a-3a95-42b8-b7bd-eca1cadf2a72	265	TN	Cookeville	truck-stops	true	false	1111 S Jefferson Ave	38506			I-40	csv-import	ONE9 Travel Center (Pilot #265)
5cf98762-e51b-4116-8a71-1934fcc47f35	89	FL	Ellenton	truck-stops	true	false	1526 51st Ave E	34222			I-75	csv-import	ONE9 Travel Center (Pilot #89) - Ellenton
69f1f244-c4c0-480b-9e95-f1b02554cb6b		AR	Brinkley	truck-stops	true	false	2101 US Highway 49	72021			I-40	csv-import	ONE9 Travel Center (Pilot Company)
cc5fe530-72f9-4f40-82de-bb55487a82cc	1366	TN	Holladay	truck-stops	true	false	15060 US-641 S	38341			I-40	csv-import	ONE9 Travel Center #1366
5fc5e9a4-17f9-40c7-9c65-d3904e90140f	226	TN	Dandridge	truck-stops	true	false	505 Patriot Dr	37725			I-40	csv-import	ONE9 Travel Center #226
32188e16-75ce-477c-b671-a22f8606b139	319	GA	Dalton	truck-stops	true	true	243 Connector 3 SW	30720	34.687265	-85.000154	I-75	csv-import	ONE9 Travel Center #319
f9e3ec91-4b3f-4c36-a174-96eafb9e907e	403	TN	Heiskell	truck-stops	true	true	1915 E Raccoon Valley Dr	37754	36.11107	-84.020183	I-75	csv-import	ONE9 Travel Center #403
ca4da6a3-c18d-4f65-88ec-1076319eb6c5	88	FL	Cocoa	truck-stops	false	false	4455 W King St	32926			I-95	csv-import	Pilot / ONE9 Travel Center #88
f0783c4c-568f-4ed0-8ee8-baec2257dab1		MI	Woodhaven	roadside-service	true	false	21055 West Rd	48183			I-75	csv-import	Pilot Flying J Truck Care - Woodhaven
ad3e43c4-ef04-43df-b994-d7c9fb475388		NC	Waynesville	roadside-service	false	false					I-40	csv-import	Pilot Flying J Truck Care Service Center - Waynesville
3f7408df-a39e-46cd-843a-61694fabbe9c		VA	Emporia	truck-stops	false	false	918 W Atlantic St	23847			I-95	csv-import	Pilot Travel Center - Sadler's Emporia
438d7ce9-59d8-4fec-b8d5-24f36c3a5481		NC	Dunn	truck-stops	false	false	65 Sadler Rd	28334			I-95	csv-import	Pilot Travel Center (Sadler Travel Plaza)
b8bff6ef-fb37-4415-9966-9e0ef40bbb4d	1047	FL	Jacksonville	truck-stops	false	false	4075 Jones Branch Rd	32219			I-95	csv-import	Pilot Travel Center #1047
