source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,has_parking,disposition,db_ids,match_evidence,note
899,Pilot Dealer,Pilot,Pilot Dealer #899,1011 E Atlantic St,South Hill,VA,23970,36.71082206313788,-78.10879096693422,I-85,12A/B,"I-85, Exit 12A/B",20,4,0,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces,true,net-new-official-location,,,
902,Pilot Licensee,Pilot,Pilot Licensee #902,3335 W Wood River Rd,Grand Island,NE,68801,40.83061305659963,-98.38060815938569,I-80,312,"I-80, Exit 312",400,22,22,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Game Room | Lottery | Public Laundry | Truck Parking Spaces,true,net-new-official-location,,,
1032,Mr. Fuel Travel Center,Mr. Fuel Travel Center,Mr. Fuel Travel Center #1032,435 S 3rd St,Steubenville,OH,43952,40.3531905,-80.6164316,,Third St,"OH-7, Exit Third St",10,5,0,,,false,Diesel Lanes | Diesel Mobile Fueling | Premium Wifi | ATM | Cylinder Propane | DEF Lanes | Lottery | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
1041,Pilot Travel Center,Pilot,Pilot Travel Center #1041,170 W North Ave,Carol Stream,IL,60188,41.90365011786776,-88.12281056669599,,,IL-64 & Gary Ave,20,6,0,,,false,Diesel Lanes | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
1094,Pilot Travel Center,Pilot,Pilot Travel Center #1094,1668 E Tehachapi Blvd,Tehachapi,CA,93561,35.12712197641601,-118.41531796752854,,151,"CA-58, Exit 151",99,9,9,,,false,Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
1096,Flying J Travel Center,Flying J,Flying J Travel Center #1096,1101 Friday Rd,Cocoa,FL,32926,28.374809,-80.802044,I-95,202,"I-95, Exit 202",89,8,7,,,false,Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
1108,Mr. Fuel Travel Center,Mr. Fuel Travel Center,Mr. Fuel Travel Center #1108,3206 W Trinity Blvd,Grand Prairie,TX,75050,32.8018794,-97.030391,,,TX-161 & Trinity Blvd,8,4,0,,,true,Diesel Lanes | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | DEF Lanes | Lottery | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
1117,Pilot Travel Center,Pilot,Pilot Travel Center #1117,389 Rochester Crossing Dr,Rochester,IN,46975,41.048488212006916,-86.21787939828644,,,US-31 & IN-25,33,5,3,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
1126,Pilot Travel Center,Pilot,Pilot Travel Center #1126,8801 NE Birmingham Rd,Kansas City,MO,64161,39.1564147,-94.4763072,I-435,55,"I-435, Exit 55",15,6,2,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
56,Pilot Travel Center,Pilot,Pilot Travel Center #56,2825 Lane St,Kannapolis,NC,28083,35.49845563266019,-80.56096263558197,I-85,63,"I-85, Exit 63",55,7,5,,,false,Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
