db_id,source_ref,official_name,db_name,state,city,address,evidence,db_published,db_has_coord
a109cc92-378c-4d57-ac39-da50a5c2a2c6,713,ONE9 Travel Center,Flying J / ONE9 Travel Center #713,SC,Latta,111 Mill Branch Rd,store_number+address+brand,false,false
48942c6d-d58b-46ad-8a29-906278fceb35,75,Pilot Travel Center,Pilot Travel Center #75,AL,Satsuma,6109 US-43 S,store_number+address+brand,true,false
ac64dd0e-2288-4bb0-85b8-2f1913dfd9f6,384,Pilot Travel Center,Pilot Travel Center #384,VA,Colonial Heights,2126 Ruffin Mill Rd,store_number+address+brand,false,false
7d43f079-09a4-4f73-a484-93682b5e28aa,429,Pilot Travel Center,Pilot Travel Center #429,AR,West Memphis,1100 Martin Luther King Jr Dr,store_number+address+brand,true,false
1dac7271-b06e-47a7-9845-3ea235276d79,656,Flying J Travel Center,Flying J Travel Center #656,IN,Whiteland,82 White St,store_number+address+brand,true,false
7edab277-0c0b-4498-a04d-3389926b0fe4,37,Pilot Travel Center,Pilot Travel Center #37,IN,Whiteland,2962 E 500 N,store_number+address+brand,true,false
321b8c5c-5c9f-48e1-aa9c-fd0332dee69e,24,Pilot Travel Center,Pilot Travel Center #24 - Monroe,MI,Monroe,1100 N Dixie Hwy,store_number+address+brand,true,false
4f23643b-4ec9-471a-beac-7a7538e73adf,337,Pilot Travel Center,Pilot Travel Center #337,SC,Florence,2015 W Lucas St,store_number+address+brand,false,false
c944296e-5c8f-4346-9755-b470a9aafe77,630,Flying J Travel Center,Flying J Travel Center #630,GA,Jackson,1125 Bucksnort Rd,store_number+address+coordinate_69m+brand,true,true
b8bff6ef-fb37-4415-9966-9e0ef40bbb4d,1047,Pilot Travel Center,Pilot Travel Center #1047,FL,Jacksonville,4075 Jones Branch Rd,store_number+address+brand,false,false
062c24f7-7145-41f3-97f7-431b2d8965b3,6990,Pilot Travel Center,Pilot Travel Center #6990,NC,Kenly,1000 Truckstop Rd,store_number+address+brand,false,false
d7265e8b-ae0a-4d0b-84f1-de75c9f7a70d,430,Pilot Travel Center,Pilot Travel Center #430,AR,Russellville,215 AR-331 N,store_number+address+brand,true,false
