source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities
1201,Flying J Dealer,Flying J,Flying J Dealer #1201,13947 Hurontario St,Inglewood,ON,L7C 2C9,43.772627973597054,-79.8763214478157,,,ON-10,0,2,0,,,false,Diesel Lanes | Diesel Mobile Fueling | ATM | Lottery | Pegasus
814,Shell Cardlock,Shell Cardlock,Shell Cardlock #814,2525 23 St NE,Calgary,AB,T2E 7M1,51.07461212155164,-114.00559825378878,,,AB-1 & Barlow Trail NE,0,7,1,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling
801,Flying J Cardlock,Flying J,Flying J Cardlock #801,4869 Continental Way,Prince George,BC,V2N 5S5,53.87648073934114,-122.73524571296691,,,Cariboo Hwy & Terminal Blvd,5,6,0,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Lottery | Truck Parking Spaces
813,Shell Cardlock,Shell Cardlock,Shell Cardlock #813,85 East Lake Crescent NE,Airdrie,AB,T4B 2B5,51.29242067481927,-113.99810032142638,,,AB-2 & East Lake Crescent NE,10,5,0,,,false,Diesel Lanes | Diesel Mobile Fueling | Truck Parking Spaces
799,Flying J Dealer,Flying J,Flying J Dealer #799,7970 Lickman Rd,Chilliwack,BC,V2R 1A9,49.146902149154165,-122.00645135934946,,116,"BC-1, Exit 116",21,7,0,,,false,Diesel Lanes | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | DEF Lanes | Drivers Lounge | Lottery | Public Laundry | Truck Parking Spaces
818,Shell Cardlock,Shell Cardlock,Shell Cardlock #818,2520 2 Ave,Edson Motco,AB,T7E 1T9,53.588151335461035,-116.38628582333088,,,AB-16 & 25 St,0,7,0,,,false,Diesel Lanes | Diesel Mobile Fueling
821,Shell Cardlock,Shell Cardlock,Shell Cardlock #821,1005 43 St S,Lethbridge,AB,T1K 7B8,49.68285778941967,-112.77841353561081,,,AB-4 & 10 Ave S,0,4,0,,,false,Diesel Lanes | Diesel Mobile Fueling
822,Shell Cardlock,Shell Cardlock,Shell Cardlock #822,5109 63 Ave,Lloydminster,AB,T9V 3T8,53.28588829116708,-110.03630108272571,,,AB-16 & 62nd Ave,0,4,0,,,false,Diesel Lanes | Diesel Mobile Fueling
827,Flying J Cardlock,Flying J,Flying J Cardlock #827,929 Coutts Way,Abbotsford,BC,V2S 4N2,49.01956316952869,-122.26630238639119,,,BC-11,0,7,2,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM
828,Flying J Cardlock,Flying J,Flying J Cardlock #828,2209 Theatre Rd,Cranbrook,BC,V1C 4H4,49.53689118126579,-115.75266536211015,,,BC-95 & Theatre Rd,0,9,0,,,false,Diesel Lanes | Diesel Mobile Fueling | Truck Parking Spaces
830,Flying J Cardlock,Flying J,Flying J Cardlock #830,2647 Darcys Rd,Dawson Creek,BC,V0C 2C0,55.759796052759754,-120.2379261324787,,,,0,7,2,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling
829,Flying J Cardlock,Flying J,Flying J Cardlock #829,1411 Northwest Blvd,Creston,BC,V0B 1G6,49.11224057440996,-116.52456087500762,,,BC-3 & Payne St,0,6,0,,,false,Diesel Lanes | Diesel Mobile Fueling
832,Flying J Cardlock,Flying J,Flying J Cardlock #832,24 Braid St,New Westminster,BC,V3L 3P3,49.22967551383004,-122.8792144834671,,,BC-1 & Brunette Ave,0,7,1,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM
844,Flying J Cardlock,Flying J,Flying J Cardlock #844,191 York Rd W,Yorkton,SK,S3N 3N5,51.226040975127496,-102.47554967172421,,,SK-16 & Gladstone Ave N,0,5,2,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling
825,Flying J Cardlock,Flying J,Flying J Cardlock #825,11 Sinclair Blvd,Brantford,ON,N3S 7X6,43.169361,-80.215204,,41,"ON-403, Exit 41",0,6,0,,,false,Diesel Lanes | Diesel Mobile Fueling | DEF Lanes
835,Flying J Cardlock,Flying J,Flying J Cardlock #835,131 Warman Rd,Winnipeg,MB,R2J 3R3,49.891468811301,-97.07366892261506,,,MB-20/59 & Warman Rd,0,5,0,,,false,Diesel Lanes | Diesel Mobile Fueling
842,Flying J Cardlock,Flying J,Flying J Cardlock #842,1511 Ross Ave E,Regina,SK,S4R 1J2,50.46422383062712,-104.56224377937832,,,Ring Rd & Ross Ave E,12,5,3,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Public Laundry | Truck Parking Spaces
843,Flying J Dealer,Flying J,Flying J Dealer #843,5470 Walker Rd,Tecumseh,ON,N0R 1L0,42.23078844935724,-82.96357219897182,,,ON-3 & Walker Rd,11,7,0,,,false,Diesel Lanes | Truck Parking Spaces
851,Flying J Travel Center,Flying J,Flying J Travel Center #851,1255 Dallas Dr,Monte Creek,BC,V0E 2M0,50.6473756145033,-119.98179865142613,,397 W/396 E,"Hwy 1, Exit 397 W/396 E",30,7,4,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Check Cashing | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
