id,name,state,field,approved_value,source_file,source_sha256,master_date,evidence_directions,concurrency
e2294476-d094-44fa-85f2-88464d6fad92,TA Express New Haven,CT,exit_number,56,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-95, Exit 56",False
fa09d896-cd19-4d18-8362-ef5fa21d84be,TA Willington,CT,interstate,I-84,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-84, Exit 71 Ruby Rd.",False
fa09d896-cd19-4d18-8362-ef5fa21d84be,TA Willington,CT,exit_number,71,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-84, Exit 71 Ruby Rd.",False
354bc376-dbe6-4584-b8a5-1b4ec6e55c70,TA Express Tampa,FL,interstate,I-4,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-4, Exit 10",False
354bc376-dbe6-4584-b8a5-1b4ec6e55c70,TA Express Tampa,FL,exit_number,10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-4, Exit 10",False
8961b7bf-e704-4c95-b7aa-13e323b7feb5,TA Baldwin,FL,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit 343",False
8961b7bf-e704-4c95-b7aa-13e323b7feb5,TA Baldwin,FL,exit_number,343,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit 343",False
c8d42a99-8adc-4143-9db1-61eed3e986d6,TA Marianna,FL,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit 142",False
c8d42a99-8adc-4143-9db1-61eed3e986d6,TA Marianna,FL,exit_number,142,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit 142",False
f3ec3f7f-ca2e-48b0-9cbc-113b78a155ba,TA Jacksonville South,FL,interstate,I-95,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-95, Exit 329",False
f3ec3f7f-ca2e-48b0-9cbc-113b78a155ba,TA Jacksonville South,FL,exit_number,329,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-95, Exit 329",False
15de1227-c048-4efc-9434-ac55e17356f1,TA Atlanta South,GA,interstate,I-75,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-75 & Georgia Hwy 36, Exit 201",False
15de1227-c048-4efc-9434-ac55e17356f1,TA Atlanta South,GA,exit_number,201,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-75 & Georgia Hwy 36, Exit 201",False
248c8882-cbfb-4e69-92a8-b229a54dceac,TA Express Thomson,GA,interstate,I-20,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-20; Exit 175,False
248c8882-cbfb-4e69-92a8-b229a54dceac,TA Express Thomson,GA,exit_number,175,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-20; Exit 175,False
3315aec6-1457-457d-a928-f2ac60c9601f,TA Express West Point,GA,interstate,I-85,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-85, Exit 6",False
3315aec6-1457-457d-a928-f2ac60c9601f,TA Express West Point,GA,exit_number,6,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-85, Exit 6",False
524f9828-f30b-4fd0-8c19-517ca2a94810,Petro Carnesville,GA,interstate,I-85,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-85, Exit 160",False
524f9828-f30b-4fd0-8c19-517ca2a94810,Petro Carnesville,GA,exit_number,160,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-85, Exit 160",False
5ef4d83d-9b81-40cc-b362-014183b69595,TA Commerce,GA,interstate,I-85,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-85 at U.S. 441, Exit 149",False
5ef4d83d-9b81-40cc-b362-014183b69595,TA Commerce,GA,exit_number,149,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-85 at U.S. 441, Exit 149",False
8f93fd04-a71e-4c59-8bbe-9c6bcd23f1fe,TA Madison,GA,interstate,I-20,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-20 & U.S. 441, Exit 114",False
8f93fd04-a71e-4c59-8bbe-9c6bcd23f1fe,TA Madison,GA,exit_number,114,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-20 & U.S. 441, Exit 114",False
95054be6-8ab3-4994-a0bf-92f85087cf2f,Petro Atlanta,GA,interstate,I-285,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-285, Exit 12 at Donald Lee Hollowell Hwy",False
95054be6-8ab3-4994-a0bf-92f85087cf2f,Petro Atlanta,GA,exit_number,12,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-285, Exit 12 at Donald Lee Hollowell Hwy",False
e32efb95-b1ab-4a54-a931-c6eb071a8448,TA Express Statesboro,GA,interstate,I-16,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-16, US-301, Exit 116",False
e32efb95-b1ab-4a54-a931-c6eb071a8448,TA Express Statesboro,GA,exit_number,116,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-16, US-301, Exit 116",False
3e8796c6-77f4-4c8c-9832-e46e040689c5,TA Brooklyn,IA,interstate,I-80,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-80, Exit 197",False
3e8796c6-77f4-4c8c-9832-e46e040689c5,TA Brooklyn,IA,exit_number,197,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-80, Exit 197",False
56e288be-090e-435c-982a-7d7355c5e464,TA Council Bluffs,IA,interstate,I-29,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-29(NB)/I-80(EB), Exit 48 I-29(SB)/I-80(WB), Exit 3 S. Expwy, Exit 49",True
cf1c022a-77d9-42a4-996a-4f012c353ed0,TA Walcott,IA,interstate,I-80,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-80, Exit 284",False
