"listing_id","business_name","input_address","census_matched_address","existing_coordinate","proposed_coordinate","distance_from_control_m","state_bounds_result","match_classification","reviewer_decision","reviewer_notes"
"38ffb2aa-c692-4376-9d7c-4b39e745845d","CAT Scale at ONE9 Travel Center Brinkley","2101 US Highway 49, Brinkley, AR 72021","","","","","n/a","census-no-match","",""
"2701ec88-7347-4c3f-bd8d-080b9c8a2798","Truck Parking Club - 4287 S Indianapolis Rd, Whitestown","4287 S Indianapolis Rd, Whitestown, IN 46075","","","","","n/a","census-no-match","",""
"8edd2af2-0264-4f08-aa18-6eb37b42e1c1","Speedco - Love's Travel Stop #905, Beaverdam","416 Village Avenue, Beaverdam, OH 45808","","","","","n/a","census-no-match","",""
"ea9dc82f-67a9-4e54-b0b9-10a0ebe33359","CAT Scale - Pilot Travel Center #602, Birmingham","224 Daniel Payne Dr, Birmingham, AL 35207","","","","","n/a","census-no-match","",""
"b2af1bed-36cf-4497-8e3d-d2c2209fca12","Love's Travel Stop #740","409 Yemassee Hwy, Yemassee, SC 29945","","","","","n/a","census-no-match","",""
"34933f4a-2f1f-46aa-ae03-e94c7050a0a3","Love's Speedco #952 (Whiteland)","4804 N White St, Whiteland, IN 46184","","","","","n/a","census-no-match","",""
"58ed9375-a7ad-4139-95ec-8c928564778c","Pilot Travel Center #4556 (Wildwood, 744 SR 44)","744 E State Road 44, Wildwood, FL 34785","","","","","n/a","census-no-match","",""
"0fd1e82b-0a8e-410b-9af9-8787d6ab89b8","TA Whitestown (TravelCenters of America #173)","5930 E State Road 334, Whitestown, IN 46075","","","","","n/a","census-no-match","",""
"394f5b7a-2970-453b-91d4-fc87c30a51a0","Flying J Travel Center #607","3400 Service Loop Rd, West Memphis, AR 72301","","","","","n/a","census-no-match","",""
"66990611-5600-4c2b-be68-7e14bc61820f","Holiday Inn Express & Suites Lonoke I-40 (Exit 175)","104 Dee Dee Lane, Lonoke, AR 72086","","","","","n/a","census-no-match","",""
"c98c8bbd-c96d-42dd-8250-6114418fac02","Shell Super Stop","4369 Highway 63 N, Hazen, AR","","","","","n/a","census-no-match","",""
"52615e2d-bbbe-45e7-8acc-4e95824179c8","Kenworth of Sellersburg (Palmer Trucks)","1503 Avco Blvd, Sellersburg, IN 47172","","","","","n/a","census-no-match","",""
"4851db39-17a3-4025-877d-966353811088","Motel 6 West Memphis","2315 E Service Rd, West Memphis, AR 72301","","","","","n/a","census-no-match","",""
"dfc83f1a-51ce-4d8a-a0d4-15b3955ee28d","Circle K (Ringgold Travel Center)","11418 Hwy 41, Ringgold, GA 30736","","","","","n/a","census-no-match","",""
"245d9e0f-cb95-461e-822a-e458c03212ed","TA Wildwood (TravelCenters of America)","556 E State Road 44, Wildwood, FL 34785","","","","","n/a","census-no-match","",""
"b8b8025b-b522-4eb1-90bc-ae35d7023de0","CAT Scale at Workman's Travel Center","3202 Pence Lane, Ozark, AR 72949","","","","","n/a","census-no-match","",""
"69f1f244-c4c0-480b-9e95-f1b02554cb6b","ONE9 Travel Center (Pilot Company)","2101 US Highway 49, Brinkley, AR 72021","","","","","n/a","census-no-match","",""
"fe6917b6-5da4-42db-a6ab-e533a1101e62","Love's Travel Stop #363 (Ocala)","7791 NW 47th Ave, Ocala, FL 34482","","","","","n/a","census-no-match","",""
"22ab6bbc-2890-4b91-bb54-c04c6dd80a89","Wildwood Truck Wash","422 E State Road 44, Wildwood, FL 34785","","","","","n/a","census-no-match","",""
"86f3090a-0f4e-4103-a7c5-befcbd96aa85","Love's Truck Care - Baxter","110 Fast Ln, Baxter, TN 38544","","","","","n/a","census-no-match","",""
"5c78823e-ad8c-4072-a019-f167a2846019","CAT Scale (at Flying J Travel Center #656)","82 White St, Whiteland, IN 46184","","","","","n/a","census-no-match","",""
"0b34c58e-1c6e-4138-a978-f49cbf546920","CAT Scale — Love's Travel Stop #470, Jasper","11459 SW 61st Way, Jasper, FL 32052","","","","","n/a","census-no-match","",""
"b90f8a31-7e91-45ae-beb4-814184f70330","Super 8 by Wyndham Metropolis","2055 E 5th St, Metropolis, IL 62960","","","","","n/a","census-no-match","",""
"ee131041-98e4-4917-a09b-dcdca1d5ed0c","RecNation Storage - Ruskin (Truck Parking)","1415 3rd St NE, Ruskin, FL 33570","","","","","n/a","census-no-match","",""
"9286ea5b-259f-47ce-a075-eec19375191e","Quality Inn West Memphis I-40","1009 E Service Rd, West Memphis, AR 72301","","","","","n/a","census-no-match","",""
